Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
304,Hartford,AE,11-20,.1815,91.7,315,104.6,235,64.1,288,-.011,206
305,Colgate,Pat,7-23,.1812,97.0,256,110.5,317,67.6,119,-.031,259
306,Eastern,Illinois,OVC,9-20,.1756,91.8,313,105.0,242,64.1,285,-.016
307,Binghamton,AE,8-23,.1730,96.6,265,110.6,320,62.9,321,-.041,279
308,Longwood,ind,12-19,.1700,103.0,138,118.2,345,70.7,28,+.025,114
309,NJIT,GWC,15-15,.1692,91.4,318,105.0,240,66.5,176,+.017,142
310,Samford,SC,12-19,.1673,95.4,276,109.6,309,61.4,332,+.074,24
311,Delaware,St.,MEAC,9-21,.1669,96.3,269,110.8,324,61.4,334,-.065
312,High,Point,BSth,12-19,.1662,93.9,294,108.0,290,67.1,147,+.083
313,Manhattan,MAAC,6-25,.1630,95.2,283,109.8,311,63.7,302,+.026,113
314,Kennesaw,St.,ASun,8-23,.1582,97.8,244,113.1,339,64.9,256,+.000
315,Cal,St.,Bakersfield,ind,9-19,.1575,94.8,287,109.7,310,69.5,47
316,North,Carolina,Central,ind,15-15,.1550,95.3,279,110.4,315,67.0,151
317,Mississippi,Valley,St.,SWAC,13-19,.1495,92.3,310,107.4,278,72.5,10
318,Marist,MAAC,6-27,.1412,94.3,290,110.3,313,65.6,226,+.008,156
319,Sacramento,St.,BSky,7-21,.1404,92.6,306,108.4,299,64.7,267,-.027
320,Texas,A&M,Corpus,Chris,Slnd,10-21,.1368,91.8,314,107.8,284,65.9
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
321,Dartmouth,Ivy,5-23,.1345,90.1,328,105.9,255,66.4,179,-.014,217
322,Fairleigh,Dickinson,NEC,5-24,.1329,92.0,312,108.3,296,67.3,132,-.026
323,Alabama,A&M,SWAC,13-15,.1293,87.1,338,102.8,193,70.2,38,-.002
324,USC,Upstate,ASun,5-25,.1291,91.4,317,107.9,287,64.4,280,+.017
325,Florida,A&M,MEAC,12-20,.1158,88.0,335,105.0,239,67.6,118,+.006
326,Louisiana,Monroe,SB,7-24,.1118,94.0,293,112.6,335,63.0,316,-.022
327,South,Carolina,St.,MEAC,10-22,.1113,90.1,327,108.0,288,68.3,82
328,Georgia,Southern,SC,5-27,.1079,88.4,332,106.2,259,67.3,134,-.064
329,Grambling,St.,SWAC,12-21,.0980,87.6,336,106.3,260,67.5,122,+.044
330,Maryland,Eastern,Shore,MEAC,9-22,.0905,91.0,321,111.2,330,70.5,32
331,Radford,BSth,5-24,.0844,86.0,340,105.8,251,67.9,101,+.007,160
332,UMBC,AE,5-25,.0839,95.6,274,117.7,344,68.4,77,+.025,115
333,Texas,Pan,American,GWC,6-25,.0828,92.4,308,113.9,341,66.9,155
334,Toledo,MAC,4-28,.0816,90.9,322,112.2,333,64.4,276,-.038,272
335,Western,Illinois,Sum,7-23,.0810,86.7,339,107.0,272,62.4,325,+.003
336,Prairie,View,A&M,SWAC,10-22,.0766,84.4,343,104.8,238,67.7,114
337,Houston,Baptist,GWC,5-26,.0762,91.0,320,113.0,337,71.4,17,+.019
338,Central,Arkansas,Slnd,5-24,.0733,88.7,330,110.6,318,71.2,22,-.071
339,Arkansas,Pine,Bluff,SWAC,7-24,.0694,88.3,333,110.7,321,66.9,158
340,Howard,MEAC,6-24,.0651,87.4,337,110.2,312,65.9,211,+.023,122
341,SIU,Edwardsville,ind,8-21,.0547,85.5,342,109.6,308,70.7,27,+.053
342,Alcorn,St.,SWAC,4-24,.0489,85.7,341,110.9,328,77.6,1,-.020
343,Chicago,St.,GWC,6-26,.0475,90.4,325,117.3,343,72.2,12,-.005
344,Centenary,Sum,1-29,.0395,83.9,344,110.7,322,70.4,34,-.022,235
345,Southern,SWAC,4-26,.0294,82.2,345,111.5,332,66.0,205,-.036,268
