Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
73,Oklahoma,St.,B12,20-14,.7335,104.0,114,95.2,47,65.9,216,+.041
74,California,P10,18-15,.7284,108.7,56,99.8,117,68.8,66,+.036,87
75,Princeton,13,Ivy,25-7,.7246,105.3,97,96.8,63,63.8,300,+.091
76,Rutgers,BE,15-17,.7208,106.5,82,98.0,85,64.1,284,-.052,299
77,Southern,Miss,CUSA,22-10,.7197,110.4,43,101.7,158,65.5,235,-.024
78,Colorado,St.,MWC,19-13,.7105,105.9,91,98.0,81,67.2,145,+.003
79,Mississippi,SEC,20-14,.7096,110.0,46,101.7,159,67.6,117,-.041,280
80,Wofford,14,SC,21-13,.6927,110.3,45,102.8,192,64.7,266,-.024
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
81,Indiana,B10,12-20,.6826,108.2,63,101.2,143,66.2,195,-.140,343
82,Boise,St.,WAC,22-13,.6808,106.5,81,99.7,113,68.2,87,-.037
83,Morehead,St.,13,OVC,25-10,.6740,103.8,117,97.4,73,64.5,274
84,Iowa,St.,B12,16-16,.6732,106.4,83,100.0,120,70.4,33,-.095
85,Marshall,CUSA,22-12,.6707,107.1,73,100.7,133,67.6,116,-.013,209
86,Oregon,P10,21-18,.6706,105.2,98,98.9,102,67.5,125,+.019,134
87,Baylor,B12,18-13,.6687,105.0,102,98.8,101,66.3,184,-.045,287
88,Long,Beach,St.,BW,22-12,.6625,104.4,109,98.5,98,69.9,41
89,Kent,St.,MAC,25-12,.6610,104.6,107,98.7,100,67.8,109,+.053
90,Memphis,12,CUSA,25-10,.6604,102.1,155,96.4,60,68.7,68,+.117
91,Tulsa,CUSA,19-13,.6598,104.9,104,99.0,103,67.2,143,-.001,186
92,Iowa,B10,11-20,.6583,102.2,154,96.5,62,67.9,103,-.118,338
93,Bucknell,14,Pat,25-9,.6578,103.7,118,98.0,83,66.1,201,+.067
94,Creighton,MVC,23-16,.6558,108.5,61,102.6,184,64.9,255,-.041,283
95,Providence,BE,15-17,.6555,108.3,62,102.4,178,72.7,9,-.045,289
96,Drexel,CAA,21-10,.6496,96.6,264,91.5,12,64.2,283,+.066,30
97,North,Carolina,St.,ACC,15-16,.6473,107.6,71,102.1,170,67.2,141
98,Stanford,P10,15-16,.6460,103.5,124,98.2,91,65.6,231,-.044,286
99,Virginia,ACC,16-15,.6445,101.6,167,96.4,61,60.8,337,+.020,131
100,Fairfield,MAAC,25-8,.6438,97.1,253,92.2,17,66.4,181,+.043,73
101,Dayton,A10,22-14,.6433,102.3,152,97.2,71,66.5,174,+.062,36
102,Georgia,Tech,ACC,13-18,.6413,99.7,205,94.8,39,69.2,55,-.092
103,Santa,Clara,WCC,24-14,.6393,106.5,80,101.4,148,68.0,98,+.050
104,Valparaiso,Horz,23-12,.6379,104.3,111,99.3,106,67.2,140,+.057,45
105,James,Madison,CAA,21-12,.6314,106.3,84,101.5,152,67.8,108,+.022
106,Portland,WCC,20-12,.6308,108.6,58,103.6,214,64.8,261,+.052,51
107,Indiana,St.,14,MVC,20-14,.6281,100.8,185,96.3,58,66.3,190
108,East,Tennessee,St.,ASun,24-12,.6280,102.9,142,98.3,92,65.7,225
109,LIU,Brooklyn,15,NEC,27-6,.6269,108.1,65,103.3,206,74.6,3
110,Northern,Iowa,MVC,20-14,.6267,107.3,72,102.6,185,60.6,340,+.003
111,Arkansas,SEC,18-13,.6208,105.6,94,101.2,141,67.3,133,+.003,171
112,Wright,St.,Horz,19-14,.6109,103.3,128,99.3,107,62.5,324,-.014
113,Akron,15,MAC,23-13,.6055,101.8,163,98.0,86,66.9,157,+.044
114,Texas,Tech,B12,13-19,.6054,105.6,95,101.7,160,70.6,30,-.041
115,Montana,BSky,21-11,.6002,99.5,213,96.0,55,63.7,304,+.008,157
116,UCF,CUSA,21-12,.5990,103.3,126,99.8,116,65.2,248,+.013,146
117,Mississippi,St.,SEC,17-14,.5945,106.1,87,102.6,186,67.9,105,+.060
118,Buffalo,MAC,20-14,.5934,101.7,164,98.4,96,66.4,180,-.077,325
119,Saint,Peter's,14,MAAC,20-14,.5910,93.5,297,90.5,5,65.7,220
120,Hofstra,CAA,21-12,.5878,108.0,66,104.7,237,66.3,185,+.125,6
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
121,Oral,Roberts,Sum,19-16,.5877,107.8,70,104.5,234,67.4,126,-.027
122,Coastal,Carolina,BSth,28-6,.5837,102.6,147,99.6,111,66.8,160,+.102
123,South,Dakota,St.,Sum,19-12,.5806,112.0,26,108.9,304,68.8,64
124,Northern,Colorado,15,BSky,21-11,.5789,104.4,110,101.6,153,67.7,112
125,Milwaukee,Horz,19-14,.5777,103.9,116,101.1,139,66.6,168,+.118,7
126,Rider,MAAC,23-11,.5755,105.1,99,102.4,177,69.7,45,+.073,26
127,Murray,St.,OVC,23-9,.5746,103.3,129,100.6,130,63.9,294,+.039
128,Detroit,Horz,17-16,.5732,106.1,88,103.4,208,71.0,24,-.022,234
129,Saint,Louis,A10,12-19,.5718,96.9,257,94.5,35,65.1,252,-.124
130,Northern,Arizona,BSky,19-13,.5665,103.7,119,101.3,147,66.4,182,-.067
131,Air,Force,MWC,16-16,.5658,105.5,96,103.1,202,62.0,328,+.019
132,UC,Santa,Barbara,15,BW,18-14,.5653,101.4,169,99.1,104,65.4
133,Rhode,Island,A10,20-14,.5647,100.6,188,98.3,94,66.9,156,+.050
134,IUPUI,Sum,19-14,.5603,109.9,47,107.6,280,62.9,320,+.015,143
135,Vermont,AE,23-9,.5574,100.0,201,98.0,80,65.3,241,+.063,34
136,South,Florida,BE,10-23,.5568,101.6,165,99.6,112,63.1,315,-.020
137,Arizona,St.,P10,12-19,.5567,102.0,158,100.0,123,63.9,296,-.009
138,Loyola,Chicago,Horz,16-15,.5541,103.5,123,101.6,155,65.9,215,-.063
139,San,Francisco,WCC,19-15,.5537,101.6,166,99.7,114,68.8,65,+.082
140,Idaho,WAC,18-14,.5536,103.2,131,101.3,145,65.1,253,+.017,139
141,Oklahoma,B12,14-18,.5489,102.9,139,101.2,142,65.3,244,+.025,118
142,Austin,Peay,OVC,20-14,.5483,101.2,175,99.5,108,68.4,74,-.045
143,Ohio,MAC,19-16,.5451,106.0,90,104.3,229,68.5,72,-.002,187
144,New,Mexico,St.,WAC,16-17,.5402,102.9,141,101.4,149,68.0,97
145,Utah,MWC,13-18,.5397,101.1,177,99.8,115,68.3,84,+.033,95
146,South,Carolina,SEC,14-16,.5372,98.6,229,97.3,72,68.3,81,+.010
147,UNC,Asheville,16,BSth,20-14,.5356,99.4,215,98.2,90,68.8,63
148,Central,Connecticut,NEC,19-12,.5339,99.1,218,98.0,79,67.3,131,-.009
149,Davidson,SC,18-15,.5332,103.9,115,102.7,191,68.5,71,-.035,267
150,Furman,SC,22-11,.5318,102.6,148,101.4,150,63.7,305,+.061,38
151,East,Carolina,CUSA,18-16,.5237,103.2,130,102.4,176,66.1,197,+.028
152,Lipscomb,ASun,17-13,.5145,105.0,103,104.5,233,70.4,35,+.000,181
